cell	orig.ident	nCount_RNA	nFeature_RNA	title	geo_accession	population	lsc_activity	CD34	predicted.celltype.score	predicted.celltype	sample	patient
GSM5973452	GSE199336	64638312	24524	LSC0061_Bl_CD34pCD38p	GSM5973452	CD34+CD38+		Positive	0.628059088528487	HSC	Zeng et al.	LSC0061
GSM5973453	GSE199336	59969539	26754	LSC0062_Bl_CD34mCD38p	GSM5973453	CD34-CD38+		Negative	0.346933213249841	HSC	Zeng et al.	LSC0062
GSM5973454	GSE199336	58148943	23040	LSC0063_Bl_CD34mCD38p	GSM5973454	CD34-CD38+		Negative	0.400014670750602	GMP	Zeng et al.	LSC0063
GSM5973455	GSE199336	66578397	26189	LSC0064_Bl_CD34mCD38p	GSM5973455	CD34-CD38+		Negative	0.609190859171148	LMPP	Zeng et al.	LSC0064
GSM5973456	GSE199336	70399253	26202	LSC0064_Bl_CD34pCD38p	GSM5973456	CD34+CD38+		Positive	0.654255536914565	LMPP	Zeng et al.	LSC0064
GSM5973457	GSE199336	73754488	25859	LSC0065_Bl_CD34pCD38m	GSM5973457	CD34+CD38-		Positive	0.416205442690051	MEP	Zeng et al.	LSC0065
GSM5973458	GSE199336	67700293	23941	LSC0066_Bl_CD34mCD38p	GSM5973458	CD34-CD38+		Negative	0.553462088993316	Plasmablast	Zeng et al.	LSC0066
GSM5973459	GSE199336	73120447	24877	LSC0067_Bl_CD34pCD38p	GSM5973459	CD34+CD38+		Positive	0.514181974210015	LMPP	Zeng et al.	LSC0067
GSM5973460	GSE199336	60687954	23929	LSC0068_Bl_CD34mCD38p	GSM5973460	CD34-CD38+		Negative	0.643180004840424	GMP	Zeng et al.	LSC0068
GSM5973461	GSE199336	58746679	28996	LSC0069_Bl_CD34mCD38p	GSM5973461	CD34-CD38+		Negative	0.512415770004285	LMPP	Zeng et al.	LSC0069
GSM5973462	GSE199336	72811903	25324	LSC0069_Bl_CD34pCD38m	GSM5973462	CD34+CD38-		Positive	0.448444933010991	HSC	Zeng et al.	LSC0069
GSM5973463	GSE199336	76201763	28718	LSC0069_Bl_CD34pCD38p	GSM5973463	CD34+CD38+		Positive	0.607477536331795	LMPP	Zeng et al.	LSC0069
GSM5973464	GSE199336	65100283	24125	LSC0071_Bl_CD34mCD38m	GSM5973464	CD34-CD38-		Negative	0.81652527336526	MEP	Zeng et al.	LSC0071
GSM5973465	GSE199336	58183044	26168	LSC0071_Bl_CD34mCD38p	GSM5973465	CD34-CD38+		Negative	0.621701508836586	GMP	Zeng et al.	LSC0071
GSM5973466	GSE199336	61225975	27454	LSC0072_Bl_CD34pCD38p	GSM5973466	CD34+CD38+		Positive	0.60944756458089	HSC	Zeng et al.	LSC0072
GSM5973467	GSE199336	63178407	27830	LSC0073_Bl_CD34mCD38p	GSM5973467	CD34-CD38+		Negative	0.2811896854918	LMPP	Zeng et al.	LSC0073
GSM5973468	GSE199336	58685736	24963	LSC0074_Bl_CD34mCD38p	GSM5973468	CD34-CD38+		Negative	0.375953533706644	GMP	Zeng et al.	LSC0074
GSM5973469	GSE199336	88707690	25118	LSC0074_Bl_CD34pCD38p	GSM5973469	CD34+CD38+		Positive	0.610959944748633	LMPP	Zeng et al.	LSC0074
GSM5973470	GSE199336	85633828	25401	LSC0076_Bl_CD34mCD38m	GSM5973470	CD34-CD38-		Negative	0.472927652015127	CD16 Mono	Zeng et al.	LSC0076
GSM5973471	GSE199336	75452610	26559	LSC0076_Bl_CD34mCD38p	GSM5973471	CD34-CD38+		Negative	0.265119742810423	Plasmablast	Zeng et al.	LSC0076
GSM5973472	GSE199336	82128690	25895	LSC0077_Bl_CD34pCD38m	GSM5973472	CD34+CD38-		Positive	0.677918313697663	HSC	Zeng et al.	LSC0077
GSM5973473	GSE199336	77692605	24816	LSC0077_Bl_CD34pCD38p	GSM5973473	CD34+CD38+		Positive	0.733948783393627	MEP	Zeng et al.	LSC0077
