# Mapping between sequencing sample IDs (Sample) and manuscript sample IDs (D.ID_1), as referenced in Supplementary Table 6 of the manuscript
# Each Sample represents a population-level sequencing sample; D.ID_1 represents a patient at a specific timepoint
# Columns: D.ID_1, Population, Sample
"D.ID_1"	"Population"	"Sample"
"P18R"	"LSC"	"P18_lsc-r1"
"P18R"	"MATURE"	"P18_mature-r1"
"P19D"	"LSC"	"P19_lsc-d1"
"P19R"	"LSC"	"P19_lsc-r1"
"P1R"	"BULK"	"HIAML45_bulk-r1"
"P1R"	"LSC"	"HIAML45_lsc-r1"
"P1R"	"MATURE"	"HIAML45_mature-r1"
"P1R"	"NONLSC"	"HIAML45_nonlsc-r1"
"P2D"	"BULK"	"HIAML22_bulk-d1"
"P2D"	"LSC"	"HIAML22_lsc-d1"
"P2D"	"NONLSC"	"HIAML22_nonlsc-d1"
"P2R"	"BULK"	"HIAML22_bulk-r1"
"P2R"	"LSC"	"HIAML22_lsc-r1"
"P2R"	"MATURE"	"HIAML22_mature-r1"
"P2R"	"NONLSC"	"HIAML22_nonlsc-r1"
"P3D"	"BULK"	"HIAML21_bulk-d1"
"P3D"	"LSC"	"HIAML21_lsc-d1"
"P3D"	"MATURE"	"HIAML21_mature-d1"
"P3D"	"NONLSC"	"HIAML21_nonlsc-d1"
"P3R"	"BULK"	"HIAML21_bulk-r1"
"P3R"	"LSC"	"HIAML21_lsc-r1"
"P3R"	"MATURE"	"HIAML21_mature-r1"
"P3R"	"NONLSC"	"HIAML21_nonlsc-r1"
"P5D"	"BULK"	"Hanover2_bulk-d1"
"P5D"	"LSC"	"Hanover2_lsc-d1"
"P5D"	"NONLSC"	"Hanover2_nonlsc-d1"
"P5R"	"BULK"	"Hanover2_bulk-r1"
"P5R"	"LSC"	"Hanover2_lsc-r1"
"P5R"	"MATURE"	"Hanover2_mature-r1"
"P5R"	"NONLSC"	"Hanover2_nonlsc-r1"
"P6R"	"BULK"	"Hanover3_bulk-r1"
"P6R"	"LSC"	"Hanover3_lsc-r1"
"P6R"	"MATURE"	"Hanover3_mature-r1"
"P6R"	"NONLSC"	"Hanover3_nonlsc-r1"
"P7D"	"BULK"	"Hanover4_bulk-d1"
"P7D"	"MATURE"	"Hanover4_lsc-d1"
"P7D"	"LSC"	"Hanover4_mature-d1"
"P7D"	"NONLSC"	"Hanover4_nonlsc-d1"
"P7R"	"BULK"	"Hanover4_bulk-r1"
"P7R"	"LSC"	"Hanover4_lsc-r1"
"P7R"	"NONLSC"	"Hanover4_nonlsc-r1"
"P9R"	"LSC"	"P9_lsc-r1"
"P7R"	"MATURE"	"Hanover4_mature-r1"
