patient	LMPP	MEP	HSC	ProgDC	Mono	GMP	cDC2	pDC
14-00193	0.41154405886493	0.125431021450662	0.0997026672092784	0.046908655221397	0.245274788692542	0.0152208427909966	0	0.0559179657701939
14-00228	0.520768835800813	0.104094281978065	0.0308019833520603	0.0435932085355259	0.239812975241609	0.0541919185802712	0.00135874195688256	0.00537805455477333
14-00231	0.275468718220645	0.073428051795952	0	0.209846641028066	0.257000024332999	0.0324905069702321	0.14444504388244	0.00732101376966626
14-00240	0.0989635335963727	0.223173342469047	0.112762272657554	0.0414912775784665	0.382706660232819	0.0196847751351678	0	0.121218138330573
14-00259	0.218741739429571	0.0533769928018724	0	0	0.424377758503644	0.0901910961434607	0.213312413121451	0
14-00279	0.222450246364702	0.0539100776558481	0.0462821409571903	0.0795989945558181	0.28023683044192	0.185576057953766	0.113664475619738	0.0182811764510163
14-00289	0.0316924264968753	0.457500456392715	0.110942367297724	0.196251529635501	0.155154887976636	0.0484583322005478	0	0
14-00359	0.124697152055461	0.0917675292937881	0.159466075734909	0.0230662041995925	0.257438970521867	0.106359610539439	0.237181435639475	2.30220154679568e-05
14-00376	0.229521147371006	0.109945780174655	0.0670788353606341	0.0949029765960905	0.121817982622504	0.369846479074598	0	0.00688679880051261
14-00423	0.194199484913506	0.0376272943293605	0.326714244561607	0	0.26341169152497	0.0386928412358419	0.12710351954753	0.0122509238871852
14-00434	0.324936897214631	0.0341441026592132	0	0	0	0.0891241331605494	0.546959890716516	0.00483497624909123
14-00447	0.221697510075892	0.0305446298156654	0	0.338642224919327	0.00886029342126599	0.0366308262954484	0.360785679190882	0.00283883628151933
14-00448	0.257208818539665	0.289198341358065	0.355936852198645	0.00292105314761545	0.0197504050436869	0.0528834147087904	0	0.0221011150035329
14-00464	0.352231169669382	0.142964912434862	0.214621747544636	0.0131176036530934	0.0180548100342054	0.228917582574235	0.00679255927855223	0.0232996148110341
14-00495	0.465642327306355	0.0286590258500481	0.373842018227864	0.0261130632412345	0.0708583006367936	0.0110141357340394	0	0.0238711290036651
14-00504	0.229615060016704	0.0233122599470381	0	0.160720692589539	0.0010753365218069	0.0019807437412484	0.538277774146242	0.0450181330374219
14-00514	0.091812352768426	0.0634205262179486	0.319285312509128	0	0.193287497697343	0.332194310807154	0	0
14-00528	0.204409646524372	0.0294259394278927	0.033591938857853	0.241616753280518	0.252982610786494	0.0178204879371318	0.174915206340173	0.0452374168455662
14-00537	0.0698609490312017	0.0336587992700977	0.0142333845330689	0	0.636661831646252	0	0.240500277840511	0.00508475767886915
14-00559	0.0914363402729136	0.12259181495742	0.0243094567004606	0.0431132348623127	0.199477243496456	0.13850862722759	0.377557498015996	0.00300578446685235
14-00567	0.509698306154851	0.0728040415054166	0.274440275186456	0.0321520727873083	0.030477927007858	0.0538069082716208	0	0.0266204690864894
14-00578	0.509080784605631	0.0805342995522549	0.0623947453552303	0.0659518531879897	0.00586313324387136	0.106940124992104	0.156179147019938	0.0130559120429814
14-00581	0.0321238759009849	0.142511123799283	0.264770956663963	0.058947858735437	0.332093193899538	0.169552991000794	0	0
14-00608	0.0147883358402755	0.0340242035264354	0.0864225167428558	0.0502962606170264	0.482621044830243	0.330047315451828	0	0.00180032299133701
14-00613	0.124039903468492	0.0393453372478982	0.465853504727905	0.0225685593256799	0.193490635812554	0.0946342816432428	0.002056647438157	0.0580111303360712
14-00618	0.286566108806886	0.261402414931874	0.177782178541749	0	0.0909589697752022	0.178216202945034	0	0.00507412499925427
14-00643	0.178542007833378	0.0671162993504941	0.204482225014992	0	0.101361367187445	0.44849810061369	0	0
14-00658	0.558527871282455	0.104780251514695	0.0823622758191495	0.00567221845520754	0.0310781688471634	0.191339051085287	0	0.0262401629960426
14-00670	0.0632368818716353	0.0987558956412418	0.133359029112478	0	0.196434668441587	0.508213524933058	0	0
14-00672	0.0338082814646806	0.576498939216728	0.130144965259313	0.0469215892640959	0.122552447246934	0.086846830739408	0	0.00322694680884072
14-00676	0	0.706058051116587	0.120634132657393	0.0336897662955755	0.0933889107103073	0.0459450722059225	0	0.000284067014215261
14-00712	0.0302276100622718	0.291404014014196	0.0880765457936542	0.0952118094245671	0.256160703333327	0.238919317371983	0	0
14-00739	0.231833226246148	0.0997788474353132	0.261154555199266	0.108791917113796	0.183200262887115	0.115241191118361	0	0
14-00774	0.228636317220311	0.109724247497527	0.576172877458203	0.0450595330758048	0.0251035333851173	0.00692249736306483	0	0.00838099399997245
14-00780	0.0372778597461355	0.45815760091641	0.265164214359194	0.0496582431555633	0.114556583227557	0.0704711414484123	0	0.00471435714672811
14-00781	0.0684385963993727	0.0597639636374221	0	0.0451966043781463	0.0859750139468734	0.402647551698755	0.33797826993943	0
14-00787	0.346168460439321	0.397590216910572	0.172060972749225	0.0143268723076862	0.0116313915339869	0.0042628951021964	0.0504371645709203	0.00352202638609308
14-00798	0.119495859743067	0.0518789950526722	0.066384898048471	0.00100758043112857	0.384794637306065	0.039343620393449	0.337094409025148	0
14-00800	0.188932615034713	0.38225378952251	0	0.0893585457669922	0.0679060364071593	0.0389170457103034	0.230585358559062	0.00204660899926046
14-00815	0.0241195895273011	0.536874652346076	0.101329153287109	0.0223493242936814	0.0701802308880163	0.237286176447568	0	0.00786087321024918
14-00817	0.564880117820625	0.0512696683486329	0.00526456422082096	0.0640338195409969	0.0938313504647747	0.0632577299857462	0.157462749618404	0
14-00832	0.116151885965287	0.0675165243977094	0.277822847936259	0	0.261553422393891	0.229418618855029	0.0417310667816028	0.0058056336702228
14-00901	0.157863736300797	0.0750612544798254	0.68064616529022	0.0661098402883028	0.00874791004183651	0	0.000239568046670612	0.0113315255523482
15-00043	0.0196740449675001	0.0639948320155094	0.0614285671180455	0.0543484061912768	0.672614444913585	0.127811102577191	0	0.000128602216892452
